     name      |  count  
---------------+---------
 MEHMET        | 1172984
 FATMA         | 1154754
 MUSTAFA       |  898672
 AYSE          |  893053
 EMINE         |  756675
 AHMET         |  719391
 ALI           |  663136
 HATICE        |  659000
 HUSEYIN       |  521240
 HASAN         |  487906
 MURAT         |  403178
 IBRAHIM       |  398227
 ISMAIL        |  382180
 ZEYNEP        |  315503
 OSMAN         |  282864
 RAMAZAN       |  278871
 OMER          |  237691
 YUSUF         |  230069
 MERYEM        |  214980
 ELIF          |  203564
 HALIL         |  202452
 SULEYMAN      |  201856
 ABDULLAH      |  191442
 SULTAN        |  176257
 HULYA         |  166652
 SEVIM         |  164108
 SERIFE        |  158786
 YASAR         |  158380
 FADIME        |  158134
 OZLEM         |  157432
 RECEP         |  154335
 MAHMUT        |  153632
 FATIH         |  153269
 AYSEL         |  152459
 HANIFE        |  151906
 METIN         |  145910
 ADEM          |  144833
 KEMAL         |  144556
 YASEMIN       |  144369
 DILEK         |  143430
 HACER         |  143360
 HAKAN         |  142126
 HAVVA         |  139985
 ZEHRA         |  136412
 AYNUR         |  135295
 LEYLA         |  134273
 SONGUL        |  131280
 KADIR         |  128272
 ZELIHA        |  127755
 SALIH         |  127378
 ORHAN         |  126791
 FILIZ         |  122787
 CEMILE        |  120529
 KADRIYE       |  116785
 MELEK         |  115155
 SELMA         |  114419
 AYTEN         |  114195
 SERKAN        |  114108
 BAYRAM        |  111945
 SEVGI         |  111592
 AYHAN         |  107619
 MEHMET ALI    |  104433
 GOKHAN        |  104307
 YILMAZ        |  101327
 TURKAN        |   99866
 SEMRA         |   98577
 SIBEL         |   98296
 HAYRIYE       |   96260
 YUKSEL        |   96127
 HALIME        |   95179
 DERYA         |   95167
 SUKRAN        |   94347
 SERPIL        |   93160
 GULSUM        |   92620
 BEKIR         |   92467
 ARZU          |   92399
 GULSEN        |   92208
 ESRA          |   91547
 EROL          |   91391
 NURAY         |   91320
 MUSA          |   91262
 UGUR          |   91175
 ERKAN         |   90385
 BULENT        |   89200
 ASIYE         |   88858
 NURCAN        |   88663
 CEMAL         |   88183
 ISMET         |   86858
 GULAY         |   86778
 NURTEN        |   86719
 DONDU         |   86447
 ERCAN         |   86207
 CENGIZ        |   84551
 MESUT         |   83583
 ERDAL         |   81806
 KENAN         |   80349
 AYDIN         |   79567
 GONUL         |   79384
 KEZIBAN       |   79378
 MUZAFFER      |   78794
 DURSUN        |   78494
 CIGDEM        |   77180
 HAVA          |   76821
 GULER         |   76715
 RUKIYE        |   76055
 SABAN         |   75613
 MERAL         |   75538
 SANIYE        |   75087
 GULTEN        |   74909
 SINAN         |   74570
 SUKRU         |   74232
 ARIF          |   74039
 PINAR         |   73643
 NURIYE        |   73635
 TUGBA         |   73297
 NACIYE        |   72752
 SEDAT         |   71750
 YILDIZ        |   71712
 REMZIYE       |   71651
 AYSEGUL       |   71566
 SELAHATTIN    |   71498
 HANIM         |   71133
 YAKUP         |   71042
 ZEKI          |   71025
 NECLA         |   70808
 ZEKIYE        |   70674
 SEHER         |   70643
 CELAL         |   70541
 UMIT          |   70273
 PERIHAN       |   69276
 SERDAR        |   68997
 YETER         |   68831
 NIHAT         |   68374
 ENGIN         |   68360
 TULAY         |   68337
 EMEL          |   67034
 NAZMIYE       |   66898
